Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-16 09:30:00-04:00,231.6199951171875,232.1199951171875,230.3800048828125,230.68499755859375,5473730,0.0,0.0
2024-10-16 09:45:00-04:00,230.67999267578125,230.99000549316406,230.02999877929688,230.07859802246094,2004151,0.0,0.0
2024-10-16 10:00:00-04:00,230.0850067138672,230.89199829101562,229.85000610351562,230.49000549316406,2013764,0.0,0.0
2024-10-16 10:15:00-04:00,230.51499938964844,230.99000549316406,230.19000244140625,230.72970581054688,1135230,0.0,0.0
2024-10-16 10:30:00-04:00,230.7100067138672,230.77000427246094,230.0800018310547,230.2949981689453,1060429,0.0,0.0
2024-10-16 10:45:00-04:00,230.2913055419922,230.72000122070312,230.0500030517578,230.39950561523438,1008420,0.0,0.0
2024-10-16 11:00:00-04:00,230.39999389648438,231.00929260253906,230.34010314941406,230.99000549316406,886750,0.0,0.0
2024-10-16 11:15:00-04:00,231.00979614257812,231.13999938964844,230.38999938964844,230.5850067138672,891398,0.0,0.0
2024-10-16 11:30:00-04:00,230.5800018310547,230.95989990234375,230.38340759277344,230.63499450683594,804033,0.0,0.0
2024-10-16 11:45:00-04:00,230.63499450683594,230.63499450683594,230.11019897460938,230.1988067626953,793111,0.0,0.0
2024-10-16 12:00:00-04:00,230.19009399414062,230.41000366210938,230.07000732421875,230.16990661621094,812988,0.0,0.0
2024-10-16 12:15:00-04:00,230.16000366210938,230.39999389648438,230.06100463867188,230.33999633789062,1010700,0.0,0.0
2024-10-16 12:30:00-04:00,230.34500122070312,230.6699981689453,230.32000732421875,230.5749969482422,595483,0.0,0.0
2024-10-16 12:45:00-04:00,230.5800018310547,231.07000732421875,230.5800018310547,231.03500366210938,549699,0.0,0.0
2024-10-16 13:00:00-04:00,231.052001953125,231.2899932861328,230.91000366210938,231.05999755859375,605195,0.0,0.0
2024-10-16 13:15:00-04:00,231.07000732421875,231.16299438476562,230.72300720214844,230.90989685058594,509581,0.0,0.0
2024-10-16 13:30:00-04:00,230.90989685058594,230.99000549316406,230.5800018310547,230.8300018310547,495901,0.0,0.0
2024-10-16 13:45:00-04:00,230.8350067138672,230.94000244140625,230.6199951171875,230.80499267578125,547576,0.0,0.0
2024-10-16 14:00:00-04:00,230.82420349121094,230.96499633789062,230.72999572753906,230.79010009765625,474215,0.0,0.0
2024-10-16 14:15:00-04:00,230.7899932861328,231.36000061035156,230.74000549316406,231.11000061035156,733486,0.0,0.0
2024-10-16 14:30:00-04:00,231.10000610351562,231.2899932861328,230.97999572753906,231.24000549316406,568154,0.0,0.0
2024-10-16 14:45:00-04:00,231.25,231.4398956298828,231.10000610351562,231.26759338378906,486586,0.0,0.0
2024-10-16 15:00:00-04:00,231.27000427246094,231.53500366210938,231.1999969482422,231.43499755859375,618455,0.0,0.0
2024-10-16 15:15:00-04:00,231.43499755859375,231.6199951171875,231.30459594726562,231.61500549316406,681062,0.0,0.0
2024-10-16 15:30:00-04:00,231.6199951171875,231.92999267578125,231.47000122070312,231.5,1183843,0.0,0.0
2024-10-16 15:45:00-04:00,231.5019989013672,231.85000610351562,231.22000122070312,231.75,1837555,0.0,0.0
